station	,
ABCD	,
Year	,
Month	,
Date	,
19610101	,0.0
19610102	,0.0
19610103	,0.0
19610104	,1.3
19610105	,0.0
19610106	,0.0
19610107	,0.0
19610108	,0.2
19610109	,0.0
19610110	,0.0
19610111	,0.0
19610112	,0.0
19610113	,0.0
19610114	,0.0
19610115	,0.0
19610116	,0.0
19610117	,0.0
19610118	,0.0
19610119	,0.0
19610120	,0.6
19610121	,0.0
19610122	,0.0
19610123	,0.0
19610124	,0.0
19610125	,0.0
19610126	,0.0
19610127	,0.0
19610128	,0.0
19610129	,0.0
19610130	,0.0
19610131	,0.0
19610201	,0.2
19610202	,0.6
19610203	,10.7
19610204	,0.0
19610205	,0.0
19610206	,0.0
19610207	,0.0
19610208	,0.0
19610209	,0.0
19610210	,0.0
19610211	,0.0
19610212	,0.0
19610213	,0.0
19610214	,0.0
19610215	,0.0
19610216	,0.0
19610217	,0.0
19610218	,0.0
19610219	,0.0
19610220	,0.0
19610221	,0.0
19610222	,0.0
19610223	,0.0
19610224	,0.0
19610225	,0.0
19610226	,0.0
19610227	,0.0
19610228	,0.0
19610301	,0.0
19610302	,0.0
19610303	,0.0
19610304	,0.0
19610305	,0.0
19610306	,15.8
19610307	,5.5
19610308	,0.0
19610309	,0.0
19610310	,0.0
19610311	,0.0
19610312	,0.0
19610313	,2.4
19610314	,16.8
19610315	,0.0
19610316	,8.4
19610317	,28.1
19610318	,4.8
19610319	,12.4
19610320	,3.2
19610321	,0.0
19610322	,0.0
19610323	,0.0
19610324	,0.0
19610325	,0.0
19610326	,0.0
19610327	,0.0
19610328	,0.0
19610329	,0.0
19610330	,0.0
19610331	,0.0
19610401	,0.0
19610402	,0.1
19610403	,0.2
19610404	,7.4
19610405	,0.0
19610406	,25.2
19610407	,15.4
19610408	,0.0
19610409	,0.0
19610410	,0.0
19610411	,0.3
19610412	,0.0
19610413	,0.0
19610414	,0.0
19610415	,0.0
19610416	,0.0
19610417	,0.0
19610418	,0.0
19610419	,0.0
19610420	,0.0
19610421	,0.0
19610422	,14.5
19610423	,0.0
19610424	,0.0
19610425	,0.0
19610426	,0.0
19610427	,2.0
19610428	,4.0
19610429	,0.2
19610430	,46.3
19610501	,1.8
19610502	,0.0
19610503	,20.8
19610504	,12.2
19610505	,1.6
19610506	,7.4
19610507	,0.0
19610508	,0.0
19610509	,12.1
19610510	,16.2
19610511	,0.0
19610512	,6.6
19610513	,14.5
19610514	,11.4
19610515	,13.4
19610516	,4.9
19610517	,0.6
19610518	,0.0
19610519	,0.0
19610520	,19.4
19610521	,12.1
19610522	,5.9
19610523	,2.6
19610524	,0.0
19610525	,21.2
19610526	,17.7
19610527	,0.0
19610528	,0.0
19610529	,0.0
19610530	,0.0
19610531	,51.7
19610601	,8.0
19610602	,5.7
19610603	,0.2
19610604	,0.0
19610605	,0.1
19610606	,3.2
19610607	,0.0
19610608	,0.0
19610609	,0.0
19610610	,7.2
19610611	,6.0
19610612	,4.5
19610613	,1.7
19610614	,25.1
19610615	,5.8
19610616	,15.7
19610617	,18.3
19610618	,0.0
19610619	,0.0
19610620	,0.0
19610621	,0.0
19610622	,2.4
19610623	,29.8
19610624	,0.4
19610625	,4.8
19610626	,0.0
19610627	,0.0
19610628	,0.0
19610629	,3.5
19610630	,34.9
19610701	,14.4
19610702	,0.0
19610703	,6.7
19610704	,3.0
19610705	,1.6
19610706	,15.9
19610707	,0.3
19610708	,14.2
19610709	,10.8
19610710	,10.2
19610711	,43.4
19610712	,4.8
19610713	,27.8
19610714	,6.3
19610715	,48.5
19610716	,0.3
19610717	,0.8
19610718	,22.7
19610719	,0.0
19610720	,3.5
19610721	,24.2
19610722	,27.6
19610723	,3.0
19610724	,0.0
19610725	,63.6
19610726	,5.2
19610727	,0.0
19610728	,2.6
19610729	,1.9
19610730	,0.0
19610731	,0.0
19610801	,0.0
19610802	,11.0
19610803	,0.0
19610804	,37.8
19610805	,73.8
19610806	,6.6
19610807	,36.4
19610808	,3.9
19610809	,3.2
19610810	,3.0
19610811	,0.0
19610812	,0.0
19610813	,0.2
19610814	,22.5
19610815	,63.5
19610816	,5.9
19610817	,0.0
19610818	,0.0
19610819	,0.2
19610820	,3.2
19610821	,3.6
19610822	,10.1
19610823	,0.5
19610824	,0.0
19610825	,1.4
19610826	,18.7
19610827	,0.0
19610828	,0.0
19610829	,0.0
19610830	,9.2
19610831	,14.4
19610901	,0.9
